question,context,ground_truth,keywords,context_answer
"Điều kiện về thu nhập của người mẹ để trông nom, chăm sóc, nuôi dưỡng, giáo dục con là gì?","b) Có thu nhập mỗi tháng thấp hơn một nửa tháng lương tối thiểu vùng tại nơi người mẹ đang cư trú và không có tài sản nào khác để trông nom, chăm sóc, nuôi dưỡng, giáo dục con;","Theo quy định, người mẹ không đủ điều kiện để trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con nếu có thu nhập mỗi tháng thấp hơn một nửa tháng lương tối thiểu vùng tại nơi người mẹ đang cư trú và không có tài sản nào khác để trông nom, chăm sóc, nuôi dưỡng, giáo dục con.","thu nhập, lương tối thiểu, trông nom","Người mẹ cần có thu nhập mỗi tháng cao hơn hoặc bằng một nửa tháng lương tối thiểu vùng tại nơi người mẹ đang cư trú để đủ điều kiện trông nom, chăm sóc, nuôi dưỡng, giáo dục con."
Chồng có quyền ly hôn khi vợ mang thai không?,"nom, chăm sóc, nuôi dưỡng, giáo dục con. 4. Trường hợp điều kiện trông nom, chăm sóc, nuôi dưỡng, giáo dục con của người cha không tốt hơn điều kiện của người mẹ hướng dẫn tại khoản 3 Điều này thì Tòa án quyết định giao con cho mẹ trực tiếp nuôi. Điều 7. Nghĩa vụ cấp dưỡng cho con quy định tại khoản 2 Điều 82 của Luật Hôn nhân và gia đình 1. Trường hợp người trực tiếp nuôi con không yêu cầu người không trực tiếp nuôi con cấp dưỡng thì Tòa án giải thích cho họ việc yêu cầu cấp dưỡng cho con là nhằm bảo vệ quyền, lợi ích hợp pháp của con. Nếu xét thấy người trực tiếp nuôi con có khả năng, điều kiện nuôi dưỡng và việc họ không yêu cầu cấp dưỡng là tự nguyện thì Tòa án không buộc bên kia phải cấp dưỡng cho con. 2. Tiền cấp dưỡng cho con là toàn bộ chi phí cho việc nuôi dưỡng, học tập của con và do các bên thỏa thuận. Trường hợp các bên không thoả thuận được thì Tòa án quyết định mức cấp dưỡng căn cứ vào thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng và nhu cầu th","Theo quy định của pháp luật, chồng có quyền ly hôn khi vợ mang thai. Tuy nhiên, việc ly hôn cần phải được xem xét kỹ lưỡng và dựa trên các điều kiện cụ thể của pháp luật. Theo Điều 51 của Luật Hôn nhân và gia đình, vợ hoặc chồng có quyền yêu cầu ly hôn. Tuy nhiên, nếu vợ mang thai, chồng chỉ có thể yêu cầu ly hôn khi có lý do chính đáng và được Tòa án chấp thuận. (Điều 51, Luật Hôn nhân và gia đình)","ly hôn, vợ mang thai, quyền ly hôn","Chồng có thể yêu cầu ly hôn khi vợ mang thai, nhưng cần phải có lý do chính đáng và được Tòa án chấp thuận."
Tiền cấp dưỡng cho con được quyết định như thế nào?,"nom, chăm sóc, nuôi dưỡng, giáo dục con. 4. Trường hợp điều kiện trông nom, chăm sóc, nuôi dưỡng, giáo dục con của người cha không tốt hơn điều kiện của người mẹ hướng dẫn tại khoản 3 Điều này thì Tòa án quyết định giao con cho mẹ trực tiếp nuôi. Điều 7. Nghĩa vụ cấp dưỡng cho con quy định tại khoản 2 Điều 82 của Luật Hôn nhân và gia đình 1. Trường hợp người trực tiếp nuôi con không yêu cầu người không trực tiếp nuôi con cấp dưỡng thì Tòa án giải thích cho họ việc yêu cầu cấp dưỡng cho con là nhằm bảo vệ quyền, lợi ích hợp pháp của con. Nếu xét thấy người trực tiếp nuôi con có khả năng, điều kiện nuôi dưỡng và việc họ không yêu cầu cấp dưỡng là tự nguyện thì Tòa án không buộc bên kia phải cấp dưỡng cho con. 2. Tiền cấp dưỡng cho con là toàn bộ chi phí cho việc nuôi dưỡng, học tập của con và do các bên thỏa thuận. Trường hợp các bên không thoả thuận được thì Tòa án quyết định mức cấp dưỡng căn cứ vào thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng và nhu cầu th","Tiền cấp dưỡng cho con được quyết định dựa trên thỏa thuận giữa các bên. Nếu các bên không thể thỏa thuận, Tòa án sẽ quyết định mức cấp dưỡng căn cứ vào thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng và nhu cầu của con. (Điều 7, Luật Hôn nhân và gia đình)","tiền cấp dưỡng, quyết định, thỏa thuận",Tiền cấp dưỡng cho con được quyết định dựa trên thỏa thuận giữa các bên hoặc quyết định của Tòa án.
Cha có nghĩa vụ cấp dưỡng cho con chưa thành niên khi nào?,"h mức cấp dưỡng căn cứ vào thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng và nhu cầu thiết yếu của người được cấp dưỡng. Mức cấp dưỡng do Tòa án quyết định nhưng không thấp hơn một nửa tháng lương tối thiểu vùng tại nơi người cấp dưỡng đang cư trú cho mỗi tháng đối với mỗi người con. Nghĩa vụ cấp dưỡng của cha, mẹ đối với con chưa thành niên, con đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình phát sinh kể từ thời điểm cha, mẹ không sống chung với con hoặc sống chung với con nhưng vi phạm nghĩa vụ nuôi dưỡng con, trừ trường hợp các bên có thỏa thuận khác.","Nghĩa vụ cấp dưỡng của cha, mẹ đối với con chưa thành niên phát sinh kể từ thời điểm cha, mẹ không sống chung với con hoặc sống chung với con nhưng vi phạm nghĩa vụ nuôi dưỡng con, trừ trường hợp các bên có thỏa thuận khác, theo quy định tại Điều 8 của Luật Hôn nhân và gia đình.","Nghĩa vụ cấp dưỡng, Con chưa thành niên, Cha mẹ","Nghĩa vụ cấp dưỡng của cha, mẹ đối với con chưa thành niên phát sinh khi cha, mẹ không sống chung với con hoặc sống chung với con nhưng vi phạm nghĩa vụ nuôi dưỡng con."
Mức cấp dưỡng tối thiểu cho mỗi người con là bao nhiêu?,"h mức cấp dưỡng căn cứ vào thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng và nhu cầu thiết yếu của người được cấp dưỡng. Mức cấp dưỡng do Tòa án quyết định nhưng không thấp hơn một nửa tháng lương tối thiểu vùng tại nơi người cấp dưỡng đang cư trú cho mỗi tháng đối với mỗi người con.",Mức cấp dưỡng tối thiểu cho mỗi người con không thấp hơn một nửa tháng lương tối thiểu vùng tại nơi người cấp dưỡng đang cư trú cho mỗi tháng.,"Mức cấp dưỡng, Lương tối thiểu vùng, Tòa án",Mức cấp dưỡng tối thiểu cho mỗi người con là một nửa tháng lương tối thiểu vùng tại nơi người cấp dưỡng đang cư trú cho mỗi tháng.
Cha mẹ có thể bị hạn chế quyền nuôi con nếu họ bị kết án về tội gì?,"n quy định tại Điều 85 của Luật Hôn nhân và gia đình 1. “Bị kết án về một trong các tội xâm phạm tính mạng, sức khỏe, nhân phẩm, danh dự của con với lỗi cố ý” là bị Tòa án kết án bằng bản án có hiệu lực pháp luật về một trong các tội quy định tại Chương XIV Bộ luật Hình sự đối với con chưa thành niên với lỗi cố ý.","Cha mẹ có thể bị hạn chế quyền nuôi con nếu họ bị kết án về tội xâm phạm tính mạng, sức khỏe, nhân phẩm, danh dự của con với lỗi cố ý, theo quy định tại Điều 85 của Luật Hôn nhân và gia đình.","quyền nuôi con, kết án, tội xâm phạm","Cha mẹ có thể bị hạn chế quyền nuôi con nếu họ bị kết án về tội xâm phạm tính mạng, sức khỏe, nhân phẩm, danh dự của con."
"Hành vi nào của cha mẹ được coi là vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con?","2. “Hành vi vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con” là không thực hiện hoặc thực hiện không đúng, không đầy đủ nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con gây ảnh hưởng nghiêm trọng đến quyền và lợi ích hợp pháp của con hoặc làm tổn hại đến sự phát triển toàn diện của con.","Hành vi vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con là không thực hiện hoặc thực hiện không đúng, không đầy đủ nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con gây ảnh hưởng nghiêm trọng đến quyền và lợi ích hợp pháp của con hoặc làm tổn hại đến sự phát triển toàn diện của con, theo quy định tại Điều 85 của Luật Hôn nhân và gia đình.","nghĩa vụ trông nom, chăm sóc, nuôi dưỡng","Hành vi vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con là bỏ mặc con tự sinh sống, không có điều kiện để tự nuôi mình."
Cha mẹ có hành vi xúi giục con làm việc trái pháp luật thì có bị hạn chế quyền đối với con không?,"dẫn đến con có hành vi trộm cắp tài sản. 3. “Phá tán tài sản của con” là mua, bán, tặng cho, hủy hoại hoặc hành vi khác làm thiệt hại đến tài sản của con mà không vì lợi ích của con. 4. “Có lối sống đồi trụy” là lối sống ăn chơi, tiêu khiển thấp hèn, xấu xa, hư hỏng, trái với thuần phong, mỹ tục của dân tộc. Ví dụ: Cha, mẹ thực hiện hoạt động mại dâm. 5. “Xúi giục, ép buộc con làm những việc trái pháp luật, trái đạo đức xã hội” là hành vi kích động, dụ dỗ, thúc đẩy, ép buộc bằng lời nói, cử chỉ hoặc bằng bất cứ hình thức nào dẫn đến con làm những việc trái pháp luật, trái đạo đức xã hội. Ví dụ: xúi giục, ép buộc dẫn đến con bỏ học, trộm cắp, lừa đảo, vận chuyển trái phép chất ma túy. 6. Tòa án có thể tự mình hoặc theo yêu cầu của cá nhân, cơ quan, tổ chức ra quyết định về việc cha, mẹ bị hạn chế quyền đối với con chưa thành niên, cụ thể như sau: a) Không cho cha, mẹ trông nom, chăm sóc, giáo dục con khi cha, mẹ có hành vi quy định tại các khoản 1, 2, 4 và 5 Điều này; b","Có, theo quy định tại điểm a khoản 6, nếu cha mẹ có hành vi xúi giục, ép buộc con làm những việc trái pháp luật, trái đạo đức xã hội thì có thể bị hạn chế quyền đối với con chưa thành niên.","hạn chế quyền, xúi giục, trái pháp luật","Có, nếu cha mẹ có hành vi xúi giục con làm việc trái pháp luật thì có thể bị hạn chế quyền đối với con."
Cha mẹ có lối sống đồi trụy thì có bị hạn chế quyền đối với con không?,"dẫn đến con có hành vi trộm cắp tài sản. 3. “Phá tán tài sản của con” là mua, bán, tặng cho, hủy hoại hoặc hành vi khác làm thiệt hại đến tài sản của con mà không vì lợi ích của con. 4. “Có lối sống đồi trụy” là lối sống ăn chơi, tiêu khiển thấp hèn, xấu xa, hư hỏng, trái với thuần phong, mỹ tục của dân tộc. Ví dụ: Cha, mẹ thực hiện hoạt động mại dâm. 5. “Xúi giục, ép buộc con làm những việc trái pháp luật, trái đạo đức xã hội” là hành vi kích động, dụ dỗ, thúc đẩy, ép buộc bằng lời nói, cử chỉ hoặc bằng bất cứ hình thức nào dẫn đến con làm những việc trái pháp luật, trái đạo đức xã hội. Ví dụ: xúi giục, ép buộc dẫn đến con bỏ học, trộm cắp, lừa đảo, vận chuyển trái phép chất ma túy. 6. Tòa án có thể tự mình hoặc theo yêu cầu của cá nhân, cơ quan, tổ chức ra quyết định về việc cha, mẹ bị hạn chế quyền đối với con chưa thành niên, cụ thể như sau: a) Không cho cha, mẹ trông nom, chăm sóc, giáo dục con khi cha, mẹ có hành vi quy định tại các khoản 1, 2, 4 và 5 Điều này; b","Có, theo quy định tại điểm a khoản 6, nếu cha mẹ có lối sống đồi trụy thì có thể bị hạn chế quyền đối với con chưa thành niên.","hạn chế quyền, đồi trụy, trái đạo đức","Có, nếu cha mẹ có lối sống đồi trụy thì có thể bị hạn chế quyền đối với con."
Cha mẹ có hành vi bạo lực gia đình thì có thể bị hạn chế quyền đối với con chưa thành niên không?,"om, chăm sóc, giáo dục con khi cha, mẹ có hành vi quy định tại các khoản 1, 2, 4 và 5 Điều này; b) Không cho cha, mẹ quản lý tài sản của con khi cha, mẹ có hành vi quy định tại khoản 3 Điều này; c) Không cho cha, mẹ đại diện theo pháp luật cho con khi cha, mẹ có hành vi quy định tại các khoản 1, 2, 3, 4 và 5 Điều này.","Có, theo quy định của pháp luật, nếu cha mẹ có hành vi bạo lực gia đình, họ có thể bị hạn chế quyền đối với con chưa thành niên. Cụ thể, Tòa án có thể quyết định hạn chế quyền của cha, mẹ đối với con chưa thành niên trong trường hợp họ có hành vi quy định tại các khoản 1, 2, 3, 4 và 5 Điều này.","hạn chế quyền, cha mẹ, con chưa thành niên","Có, nếu cha mẹ có hành vi bạo lực gia đình, họ có thể bị hạn chế quyền đối với con chưa thành niên."
Thẩm quyền giải quyết vụ án về hôn nhân và gia đình được xác định như thế nào?,"Vụ án về hôn nhân và gia đình có tranh chấp về bất động sản mà nơi cư trú, làm việc của bị đơn, nguyên đơn quy định tại điểm a, điểm b khoản 1 Điều 39 của Bộ luật Tố tụng dân sự và nơi có bất động sản đang tranh chấp khác nhau thì thẩm quyền của Tòa án được xác định","Thẩm quyền giải quyết vụ án về hôn nhân và gia đình được xác định dựa trên nơi cư trú, làm việc của bị đơn, nguyên đơn và nơi có bất động sản đang tranh chấp. Cụ thể, thẩm quyền của Tòa án được xác định theo quy định tại điểm a, điểm b khoản 1 Điều 39 của Bộ luật Tố tụng dân sự.","thẩm quyền, vụ án, hôn nhân và gia đình","Thẩm quyền giải quyết vụ án về hôn nhân và gia đình được xác định dựa trên nơi cư trú, làm việc của bị đơn, nguyên đơn và nơi có bất động sản đang tranh chấp."
Chồng có quyền ly hôn khi vợ mang thai không?,"ng dân sự và nơi có bất động sản đang tranh chấp khác nhau thì thẩm quyền của Tòa án được xác định theo quy định tại điểm a, điểm b khoản 1 Điều 39 của Bộ luật Tố tụng dân sự. 2. Trường hợp cha và mẹ là người Việt Nam định cư ở nước ngoài có đơn khởi kiện về việc thay đổi người trực tiếp nuôi con sau khi ly hôn, con chung đang sinh sống tại Việt Nam thì thuộc thẩm quyền giải quyết của Tòa án Việt Nam theo quy định tại điểm đ khoản 1 Điều 469 của Bộ luật Tố tụng dân sự. Điều 10. Giải quyết vụ án ly hôn có bị đơn là người Việt Nam ở nước ngoài nhưng không rõ địa chỉ Trong vụ án ly hôn, người Việt Nam ở trong nước xin ly hôn với người Việt Nam ở nước ngoài và nguyên đơn chỉ cung cấp được địa chỉ nơi cư trú cuối cùng ở Việt Nam của bị đơn mà không cung cấp được địa chỉ của bị đơn ở nước ngoài thì Tòa án giải quyết như sau: 1. Trường hợp qua người thân thích của bị đơn có căn cứ xác định họ có liên hệ với người thân thích ở trong nước nhưng người thân thích của họ không cung cấp","Theo quy định của pháp luật, chồng có quyền ly hôn khi vợ mang thai. Tuy nhiên, việc ly hôn cần phải tuân thủ các quy định của pháp luật về thủ tục ly hôn và đảm bảo quyền lợi của cả hai bên. Theo Điều 51 của Luật Hôn nhân và Gia đình, vợ hoặc chồng có quyền yêu cầu ly hôn. Tuy nhiên, nếu vợ mang thai, chồng chỉ có thể yêu cầu ly hôn khi có lý do chính đáng và được Tòa án chấp thuận.","ly hôn, vợ mang thai, quyền ly hôn","Chồng có thể yêu cầu ly hôn khi vợ mang thai, nhưng cần phải tuân thủ các quy định của pháp luật về thủ tục ly hôn và đảm bảo quyền lợi của cả hai bên."
Thẩm quyền giải quyết vụ án ly hôn có bị đơn là người Việt Nam ở nước ngoài được quy định như thế nào?,"ng dân sự và nơi có bất động sản đang tranh chấp khác nhau thì thẩm quyền của Tòa án được xác định theo quy định tại điểm a, điểm b khoản 1 Điều 39 của Bộ luật Tố tụng dân sự. 2. Trường hợp cha và mẹ là người Việt Nam định cư ở nước ngoài có đơn khởi kiện về việc thay đổi người trực tiếp nuôi con sau khi ly hôn, con chung đang sinh sống tại Việt Nam thì thuộc thẩm quyền giải quyết của Tòa án Việt Nam theo quy định tại điểm đ khoản 1 Điều 469 của Bộ luật Tố tụng dân sự. Điều 10. Giải quyết vụ án ly hôn có bị đơn là người Việt Nam ở nước ngoài nhưng không rõ địa chỉ Trong vụ án ly hôn, người Việt Nam ở trong nước xin ly hôn với người Việt Nam ở nước ngoài và nguyên đơn chỉ cung cấp được địa chỉ nơi cư trú cuối cùng ở Việt Nam của bị đơn mà không cung cấp được địa chỉ của bị đơn ở nước ngoài thì Tòa án giải quyết như sau: 1. Trường hợp qua người thân thích của bị đơn có căn cứ xác định họ có liên hệ với người thân thích ở trong nước nhưng người thân thích của họ không cung cấp","Theo quy định tại Điều 10 của Bộ luật Tố tụng dân sự, thẩm quyền giải quyết vụ án ly hôn có bị đơn là người Việt Nam ở nước ngoài nhưng không rõ địa chỉ được quy định như sau: Trường hợp qua người thân thích của bị đơn có căn cứ xác định họ có liên hệ với người thân thích ở trong nước nhưng người thân thích của họ không cung cấp địa chỉ của bị đơn ở nước ngoài, Tòa án sẽ giải quyết vụ án theo quy định của pháp luật.","thẩm quyền, ly hôn, nước ngoài","Thẩm quyền giải quyết vụ án ly hôn có bị đơn là người Việt Nam ở nước ngoài được quy định tại Điều 10 của Bộ luật Tố tụng dân sự, trong đó quy định về việc giải quyết vụ án khi bị đơn không rõ địa chỉ."
Tòa án xử lý thế nào khi người thân thích của bị đơn không cung cấp địa chỉ của bị đơn?,"ác định họ có liên hệ với người thân thích ở trong nước nhưng người thân thích của họ không cung cấp địa chỉ của bị đơn cho Tòa án, không thực hiện yêu cầu của Tòa án thông báo cho bị đơn biết thì được coi là cố tình giấu địa chỉ. Trường hợp Tòa án đã yêu cầu đến lần thứ hai mà người thân thích của họ không cung cấp địa chỉ của bị đơn cho Tòa án, không thực hiện yêu cầu của Tòa án thông báo cho bị đơn biết thì Tòa án tiếp tục giải quyết, xét xử vắng mặt bị đơn theo thủ tục chung.","Theo quy định của pháp luật, nếu người thân thích của bị đơn không cung cấp địa chỉ của bị đơn cho Tòa án, không thực hiện yêu cầu của Tòa án thông báo cho bị đơn biết, thì Tòa án sẽ coi đây là hành vi cố tình giấu địa chỉ. Trong trường hợp này, Tòa án sẽ tiếp tục giải quyết, xét xử vắng mặt bị đơn theo thủ tục chung sau khi đã yêu cầu đến lần thứ hai.","Tòa án, bị đơn, xét xử vắng mặt","Tòa án sẽ tiếp tục giải quyết, xét xử vắng mặt bị đơn theo thủ tục chung nếu người thân thích của bị đơn không cung cấp địa chỉ của bị đơn."
"Án phí trong vụ án tranh chấp về xác định cha, mẹ được quy định như thế nào?","Điều 11. Án phí trong giải quyết vụ án hôn nhân và gia đình 1. Đương sự phải chịu án phí trong vụ án tranh chấp về xác định cha, mẹ c","Theo Điều 11 của luật, đương sự phải chịu án phí trong vụ án tranh chấp về xác định cha, mẹ. Điều này có nghĩa là các bên tham gia vụ án sẽ phải chịu trách nhiệm về án phí liên quan đến việc giải quyết tranh chấp về xác định cha, mẹ.","án phí, tranh chấp, xác định cha mẹ","Đương sự phải chịu án phí trong vụ án tranh chấp về xác định cha, mẹ theo quy định của pháp luật."
Vợ chồng thuận tình ly hôn trước khi mở phiên tòa sơ thẩm thì phải chịu bao nhiêu phần trăm mức án phí?,"ụ án hôn nhân và gia đình 1. Đương sự phải chịu án phí trong vụ án tranh chấp về xác định cha, mẹ cho con theo quy định tại Điều 26 của Nghị quyết số 326/2016/UBTVQH14 ngày 30 tháng 12 năm 2016 của Ủy ban Thường vụ Quốc hội quy định về mức thu, miễn, giảm, thu, nộp, quản lý và sử dụng án phí và lệ phí Tòa án, trừ trường hợp tranh chấp về xác định cha, mẹ cho con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự. 2. Trong vụ án ly hôn mà các bên đương sự thuận tình ly hôn theo quy định của pháp luật về hôn nhân và gia đình thì cần phân biệt như sau: a) Trường hợp các bên đương sự thuận tình ly hôn trước khi mở phiên tòa sơ thẩm thì các bên đương sự phải chịu 50% mức án phí quy định (mỗi bên phải chịu 25% mức án phí quy định); b) Trường hợp các bên đương sự thuận tình ly hôn tại phiên tòa sơ thẩm thì các bên đương sự phải chịu 100% mức án phí quy định (mỗi bên phải chịu 50% mức án phí quy định). 3. Trường hợp trước khi mở phiên tòa, các bên đương sự tự nguyện ly","Theo quy định tại điểm a, khoản 2 của Nghị quyết số 326/2016/UBTVQH14, vợ chồng thuận tình ly hôn trước khi mở phiên tòa sơ thẩm thì phải chịu 50% mức án phí, mỗi bên phải chịu 25% mức án phí quy định.","thuận tình ly hôn, án phí, mức án phí","Vợ chồng thuận tình ly hôn trước khi mở phiên tòa sơ thẩm thì phải chịu 50% mức án phí, mỗi bên phải chịu 25% mức án phí quy định."
Trường hợp nào thì các bên đương sự phải chịu 100% mức án phí trong vụ án ly hôn?,"ụ án hôn nhân và gia đình 1. Đương sự phải chịu án phí trong vụ án tranh chấp về xác định cha, mẹ cho con theo quy định tại Điều 26 của Nghị quyết số 326/2016/UBTVQH14 ngày 30 tháng 12 năm 2016 của Ủy ban Thường vụ Quốc hội quy định về mức thu, miễn, giảm, thu, nộp, quản lý và sử dụng án phí và lệ phí Tòa án, trừ trường hợp tranh chấp về xác định cha, mẹ cho con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự. 2. Trong vụ án ly hôn mà các bên đương sự thuận tình ly hôn theo quy định của pháp luật về hôn nhân và gia đình thì cần phân biệt như sau: a) Trường hợp các bên đương sự thuận tình ly hôn trước khi mở phiên tòa sơ thẩm thì các bên đương sự phải chịu 50% mức án phí quy định (mỗi bên phải chịu 25% mức án phí quy định); b) Trường hợp các bên đương sự thuận tình ly hôn tại phiên tòa sơ thẩm thì các bên đương sự phải chịu 100% mức án phí quy định (mỗi bên phải chịu 50% mức án phí quy định). 3. Trường hợp trước khi mở phiên tòa, các bên đương sự tự nguyện ly","Theo quy định tại điểm b, khoản 2 của Nghị quyết số 326/2016/UBTVQH14, trường hợp các bên đương sự thuận tình ly hôn tại phiên tòa sơ thẩm thì các bên đương sự phải chịu 100% mức án phí, mỗi bên phải chịu 50% mức án phí quy định.","thuận tình ly hôn, án phí, mức án phí","Trường hợp các bên đương sự thuận tình ly hôn tại phiên tòa sơ thẩm thì phải chịu 100% mức án phí, mỗi bên phải chịu 50% mức án phí quy định."
Khi nào các bên đương sự phải chịu 50% mức án phí quy định đối với yêu cầu xin ly hôn?,"Trường hợp trước khi mở phiên tòa, các bên đương sự tự nguyện ly hôn nhưng không thỏa thuận được về con chung và tài sản chung mà Tòa án xét xử và ra bản án sơ thẩm thì các đương sự phải chịu 50% mức án phí quy định đối với yêu cầu xin ly hôn","Các bên đương sự phải chịu 50% mức án phí quy định đối với yêu cầu xin ly hôn khi trước khi mở phiên tòa, họ tự nguyện ly hôn nhưng không thỏa thuận được về con chung và tài sản chung, và Tòa án xét xử và ra bản án sơ thẩm (theo quy định tại Điều 12 của Nghị quyết này)","án phí, ly hôn, Tòa án","Khi các bên đương sự tự nguyện ly hôn nhưng không thỏa thuận được về con chung và tài sản chung, và Tòa án xét xử và ra bản án sơ thẩm"
Nghị quyết này có hiệu lực thi hành từ ngày nào?,Nghị quyết này đã được Hội đồng Thẩm phán Tòa án nhân dân tối cao thông qua ngày 24 tháng 4 năm 2024 và có hiệu lực thi hành kể từ ngày 01 tháng 7 năm 2024,Nghị quyết này có hiệu lực thi hành kể từ ngày 01 tháng 7 năm 2024 (theo quy định tại Điều 12 của Nghị quyết này),"hiệu lực, thi hành, ngày",Nghị quyết này có hiệu lực thi hành từ ngày 01 tháng 7 năm 2024
Ai có thẩm quyền giám sát hoạt động của Tòa án nhân dân?,"Ủy ban Tư pháp của Quốc hội (để giám sát); Ban Dân nguyện thuộc UBTVQH; Ban Nội chính Trung ương (để báo cáo); Văn phòng Trung ương Đảng (để báo cáo); Văn phòng Chủ tịch nước (để báo cáo); Văn phòng Chính phủ 02 bản (để đăng Công báo); Viện kiểm sát nhân dân tối cao (để phối hợp); Bộ Tư pháp (để phối hợp); Các TAND và TAQS các cấp (để thực hiện); Các Thẩm phán và các đơn vị thuộc TANDTC (để thực hiện); Cổng Thông tin điện tử TANDTC (để đăng tải); Lưu: VT, Vụ PC&QLKH TANDTC.","Theo quy định, Ủy ban Tư pháp của Quốc hội có thẩm quyền giám sát hoạt động của Tòa án nhân dân. Điều này được quy định tại các văn bản pháp luật liên quan đến tổ chức và hoạt động của Tòa án nhân dân.","Tòa án nhân dân, giám sát, Ủy ban Tư pháp",Ủy ban Tư pháp của Quốc hội có thẩm quyền giám sát hoạt động của Tòa án nhân dân.
Các cơ quan nào có trách nhiệm phối hợp với Tòa án nhân dân?,"Ủy ban Tư pháp của Quốc hội (để giám sát); Ban Dân nguyện thuộc UBTVQH; Ban Nội chính Trung ương (để báo cáo); Văn phòng Trung ương Đảng (để báo cáo); Văn phòng Chủ tịch nước (để báo cáo); Văn phòng Chính phủ 02 bản (để đăng Công báo); Viện kiểm sát nhân dân tối cao (để phối hợp); Bộ Tư pháp (để phối hợp); Các TAND và TAQS các cấp (để thực hiện); Các Thẩm phán và các đơn vị thuộc TANDTC (để thực hiện); Cổng Thông tin điện tử TANDTC (để đăng tải); Lưu: VT, Vụ PC&QLKH TANDTC.",Các cơ quan có trách nhiệm phối hợp với Tòa án nhân dân bao gồm Viện kiểm sát nhân dân tối cao và Bộ Tư pháp. Điều này được quy định tại các văn bản pháp luật liên quan đến tổ chức và hoạt động của Tòa án nhân dân.,"Tòa án nhân dân, phối hợp, Viện kiểm sát",Viện kiểm sát nhân dân tối cao và Bộ Tư pháp có trách nhiệm phối hợp với Tòa án nhân dân.
Nghị định 109/2026/NĐ-CP quy định về xử phạt vi phạm hành chính trong lĩnh vực nào?,"NGHỊ ĐỊNH QUY ĐỊNH XỬ PHẠT VI PHẠM HÀNH CHÍNH TRONG LĨNH VỰC BỔ TRỢ TƯ PHÁP; HÀNH CHÍNH TƯ PHÁP; HÔN NHÂN VÀ GIA ĐÌNH; THI HÀNH ÁN DÂN SỰ; PHỤC HỒI, PHÁ SẢN DOANH NGHIỆP, HỢP TÁC XÃ","Nghị định 109/2026/NĐ-CP quy định về xử phạt vi phạm hành chính trong các lĩnh vực như bổ trợ tư pháp, hành chính tư pháp, hôn nhân và gia đình, thi hành án dân sự, phục hồi, phá sản doanh nghiệp, hợp tác xã. (Theo Điều 1 Nghị định 109/2026/NĐ-CP)","xử phạt, hành chính, bổ trợ tư pháp","Nghị định 109/2026/NĐ-CP quy định về xử phạt vi phạm hành chính trong các lĩnh vực như bổ trợ tư pháp, hành chính tư pháp, hôn nhân và gia đình, thi hành án dân sự, phục hồi, phá sản doanh nghiệp, hợp tác xã."
Căn cứ pháp lý nào được sử dụng để ban hành Nghị định 109/2026/NĐ-CP?,"Căn cứ Luật Tổ chức Chính phủ số 63/2025/QH15; Căn cứ Luật Xử lý vi phạm hành chính số 15/2012/QH13 được sửa đổi, bổ sung bởi Luật số 67/2020/QH14 và Luật số 88/2025/QH15;","Nghị định 109/2026/NĐ-CP được ban hành dựa trên căn cứ pháp lý như Luật Tổ chức Chính phủ số 63/2025/QH15, Luật Xử lý vi phạm hành chính số 15/2012/QH13 được sửa đổi, bổ sung bởi Luật số 67/2020/QH14 và Luật số 88/2025/QH15. (Theo Điều 2 Nghị định 109/2026/NĐ-CP)","căn cứ pháp lý, luật tổ chức chính phủ, xử lý vi phạm hành chính","Nghị định 109/2026/NĐ-CP được ban hành dựa trên căn cứ pháp lý như Luật Tổ chức Chính phủ số 63/2025/QH15, Luật Xử lý vi phạm hành chính số 15/2012/QH13 được sửa đổi, bổ sung bởi Luật số 67/2020/QH14 và Luật số 88/2025/QH15."
